Professor,Dia,Turno,Horário,Disciplina
Prof 9,Quinta,M,4,livre
Prof 9,Quinta,M,5,livre
Prof 9,Quinta,T,1,livre
Prof 9,Quinta,T,2,livre
Prof 9,Quinta,T,3,livre
Prof 9,Quinta,T,4,livre
Prof 9,Quinta,T,5,livre
Prof 9,Quinta,N,1,livre
Prof 9,Quinta,N,2,livre
Prof 9,Quinta,N,3,livre
Prof 9,Quinta,N,4,livre
Prof 9,Quinta,N,5,Computação Orientada a Objetos I (SIN - 3º período)
Prof 9,Sexta,M,1,Métodos Matemáticos para Análise de Dados (CCO - 3º período)
Prof 9,Sexta,M,2,Métodos Matemáticos para Análise de Dados (CCO - 3º período)
Prof 9,Sexta,M,3,Métodos Matemáticos para Análise de Dados (CCO - 3º período)
Prof 9,Sexta,M,4,Métodos Matemáticos para Análise de Dados (CCO - 3º período)
Prof 9,Sexta,M,5,livre
Prof 9,Sexta,T,1,livre
Prof 9,Sexta,T,2,livre
Prof 9,Sexta,T,3,livre
Prof 9,Sexta,T,4,livre
Prof 9,Sexta,T,5,livre
Prof 9,Sexta,N,1,livre
Prof 9,Sexta,N,2,livre
Prof 9,Sexta,N,3,livre
Prof 9,Sexta,N,4,livre
Prof 9,Sexta,N,5,livre
Prof 10,Segunda,M,1,livre
Prof 10,Segunda,M,2,livre
Prof 10,Segunda,M,3,livre
Prof 10,Segunda,M,4,livre
Prof 10,Segunda,M,5,livre
Prof 10,Segunda,T,1,livre
Prof 10,Segunda,T,2,livre
Prof 10,Segunda,T,3,livre
Prof 10,Segunda,T,4,livre
Prof 10,Segunda,T,5,livre
Prof 10,Segunda,N,1,Desenvolvimento de Aplicações em SI (SIN - 7º período)
Prof 10,Segunda,N,2,Desenvolvimento de Aplicações em SI (SIN - 7º período)
Prof 10,Segunda,N,3,Desenvolvimento de Aplicações em SI (SIN - 7º período)
Prof 10,Segunda,N,4,Desenvolvimento de Aplicações em SI (SIN - 7º período)
Prof 10,Segunda,N,5,Desenvolvimento de Aplicações em SI (SIN - 7º período)
Prof 10,Terça,M,1,livre
Prof 10,Terça,M,2,livre
Prof 10,Terça,M,3,livre
Prof 10,Terça,M,4,livre
Prof 10,Terça,M,5,livre
Prof 10,Terça,T,1,livre
Prof 10,Terça,T,2,livre
Prof 10,Terça,T,3,livre
Prof 10,Terça,T,4,livre
Prof 10,Terça,T,5,livre
Prof 10,Terça,N,1,livre
Prof 10,Terça,N,2,livre
Prof 10,Terça,N,3,Fundamentos de Sistemas de Informação (SIN - 1º período)
Prof 10,Terça,N,4,Fundamentos de Sistemas de Informação (SIN - 1º período)
Prof 10,Terça,N,5,livre
Prof 10,Quarta,M,1,Computação Orientada a Objetos II (CCO - 5º período)
Prof 10,Quarta,M,2,Computação Orientada a Objetos II (CCO - 5º período)
Prof 10,Quarta,M,3,Computação Orientada a Objetos II (CCO - 5º período)
Prof 10,Quarta,M,4,Computação Orientada a Objetos II (CCO - 5º período)
Prof 10,Quarta,M,5,livre
Prof 10,Quarta,T,1,livre
Prof 10,Quarta,T,2,livre
Prof 10,Quarta,T,3,livre
Prof 10,Quarta,T,4,livre
Prof 10,Quarta,T,5,livre
Prof 10,Quarta,N,1,Fundamentos de Sistemas de Informação (SIN - 1º período)
Prof 10,Quarta,N,2,Fundamentos de Sistemas de Informação (SIN - 1º período)
Prof 10,Quarta,N,3,livre
Prof 10,Quarta,N,4,livre
Prof 10,Quarta,N,5,livre
Prof 10,Quinta,M,1,livre
Prof 10,Quinta,M,2,livre
Prof 10,Quinta,M,3,livre
Prof 10,Quinta,M,4,livre
Prof 10,Quinta,M,5,livre
Prof 10,Quinta,T,1,livre
Prof 10,Quinta,T,2,livre
Prof 10,Quinta,T,3,livre
Prof 10,Quinta,T,4,livre
Prof 10,Quinta,T,5,livre
Prof 10,Quinta,N,1,livre
Prof 10,Quinta,N,2,livre
Prof 10,Quinta,N,3,livre
Prof 10,Quinta,N,4,livre
Prof 10,Quinta,N,5,livre
Prof 10,Sexta,M,1,livre
Prof 10,Sexta,M,2,livre
Prof 10,Sexta,M,3,livre
Prof 10,Sexta,M,4,livre
Prof 10,Sexta,M,5,livre
Prof 10,Sexta,T,1,livre
Prof 10,Sexta,T,2,livre
Prof 10,Sexta,T,3,livre
Prof 10,Sexta,T,4,livre
Prof 10,Sexta,T,5,livre
Prof 10,Sexta,N,1,livre
Prof 10,Sexta,N,2,livre
Prof 10,Sexta,N,3,livre
Prof 10,Sexta,N,4,livre
Prof 10,Sexta,N,5,livre
Prof 11,Segunda,M,1,livre
Prof 11,Segunda,M,2,livre
Prof 11,Segunda,M,3,livre
Prof 11,Segunda,M,4,livre
Prof 11,Segunda,M,5,livre
Prof 11,Segunda,T,1,livre
Prof 11,Segunda,T,2,livre
Prof 11,Segunda,T,3,livre
Prof 11,Segunda,T,4,livre
Prof 11,Segunda,T,5,livre
Prof 11,Segunda,N,1,livre
Prof 11,Segunda,N,2,livre
Prof 11,Segunda,N,3,livre
Prof 11,Segunda,N,4,livre
Prof 11,Segunda,N,5,livre
Prof 11,Terça,M,1,livre
Prof 11,Terça,M,2,livre
Prof 11,Terça,M,3,livre
Prof 11,Terça,M,4,livre
Prof 11,Terça,M,5,livre
Prof 11,Terça,T,1,livre
Prof 11,Terça,T,2,livre
Prof 11,Terça,T,3,livre
Prof 11,Terça,T,4,livre
Prof 11,Terça,T,5,livre
Prof 11,Terça,N,1,livre
Prof 11,Terça,N,2,livre
Prof 11,Terça,N,3,livre
Prof 11,Terça,N,4,livre
Prof 11,Terça,N,5,livre
Prof 11,Quarta,M,1,livre
Prof 11,Quarta,M,2,livre
Prof 11,Quarta,M,3,livre
Prof 11,Quarta,M,4,livre
Prof 11,Quarta,M,5,livre
Prof 11,Quarta,T,1,livre
Prof 11,Quarta,T,2,livre
Prof 11,Quarta,T,3,livre
Prof 11,Quarta,T,4,livre
Prof 11,Quarta,T,5,livre
Prof 11,Quarta,N,1,livre
Prof 11,Quarta,N,2,livre
Prof 11,Quarta,N,3,livre
Prof 11,Quarta,N,4,livre
Prof 11,Quarta,N,5,livre
Prof 11,Quinta,M,1,livre
Prof 11,Quinta,M,2,livre
Prof 11,Quinta,M,3,livre
Prof 11,Quinta,M,4,livre
Prof 11,Quinta,M,5,livre
Prof 11,Quinta,T,1,livre
Prof 11,Quinta,T,2,livre
Prof 11,Quinta,T,3,livre
Prof 11,Quinta,T,4,livre
Prof 11,Quinta,T,5,livre
Prof 11,Quinta,N,1,Organização e Arquitetura de Computadores (SIN - 3º período)
Prof 11,Quinta,N,2,Organização e Arquitetura de Computadores (SIN - 3º período)
Prof 11,Quinta,N,3,Organização e Arquitetura de Computadores (SIN - 3º período)
Prof 11,Quinta,N,4,Organização e Arquitetura de Computadores (SIN - 3º período)
Prof 11,Quinta,N,5,livre
Prof 11,Sexta,M,1,Fundamentos de Programação (MBA) (Outros Cursos - 1º período)
Prof 11,Sexta,M,2,Fundamentos de Programação (MBA) (Outros Cursos - 1º período)
Prof 11,Sexta,M,3,Fundamentos de Programação (MBA) (Outros Cursos - 1º período)
Prof 11,Sexta,M,4,Fundamentos de Programação (MBA) (Outros Cursos - 1º período)
Prof 11,Sexta,M,5,livre
Prof 11,Sexta,T,1,livre
Prof 11,Sexta,T,2,livre
Prof 11,Sexta,T,3,livre
Prof 11,Sexta,T,4,livre
Prof 11,Sexta,T,5,livre
Prof 11,Sexta,N,1,livre
Prof 11,Sexta,N,2,livre
Prof 11,Sexta,N,3,livre
Prof 11,Sexta,N,4,livre
Prof 11,Sexta,N,5,livre
Prof 12,Segunda,M,1,Fundamentos de Programação (CCO - 1º período)
Prof 12,Segunda,M,2,Fundamentos de Programação (CCO - 1º período)
Prof 12,Segunda,M,3,Fundamentos de Programação (CCO - 1º período)
Prof 12,Segunda,M,4,Fundamentos de Programação (CCO - 1º período)
Prof 12,Segunda,M,5,livre
Prof 12,Segunda,T,1,livre
Prof 12,Segunda,T,2,livre
Prof 12,Segunda,T,3,livre
Prof 12,Segunda,T,4,livre
Prof 12,Segunda,T,5,livre
Prof 12,Segunda,N,1,livre
Prof 12,Segunda,N,2,livre
Prof 12,Segunda,N,3,livre
Prof 12,Segunda,N,4,livre
Prof 12,Segunda,N,5,livre
Prof 12,Terça,M,1,Visão Computacional (Pós Graduação - 5º período)
Prof 12,Terça,M,2,Visão Computacional (Pós Graduação - 5º período)
Prof 12,Terça,M,3,Visão Computacional (Pós Graduação - 5º período)
Prof 12,Terça,M,4,Visão Computacional (Pós Graduação - 5º período)
Prof 12,Terça,M,5,livre
Prof 12,Terça,T,1,livre
Prof 12,Terça,T,2,livre
Prof 12,Terça,T,3,livre
Prof 12,Terça,T,4,livre
Prof 12,Terça,T,5,livre
Prof 12,Terça,N,1,livre
Prof 12,Terça,N,2,livre
Prof 12,Terça,N,3,livre
Prof 12,Terça,N,4,livre
Prof 12,Terça,N,5,livre
Prof 12,Quarta,M,1,livre
Prof 12,Quarta,M,2,livre
Prof 12,Quarta,M,3,livre
Prof 12,Quarta,M,4,livre
Prof 12,Quarta,M,5,livre
Prof 12,Quarta,T,1,livre
Prof 12,Quarta,T,2,livre
Prof 12,Quarta,T,3,livre
Prof 12,Quarta,T,4,livre
Prof 12,Quarta,T,5,livre
Prof 12,Quarta,N,1,livre
Prof 12,Quarta,N,2,livre
Prof 12,Quarta,N,3,livre
Prof 12,Quarta,N,4,livre
Prof 12,Quarta,N,5,livre
Prof 12,Quinta,M,1,Banco de Dados I (CCO - 5º período)
Prof 12,Quinta,M,2,Banco de Dados I (CCO - 5º período)
Prof 12,Quinta,M,3,Banco de Dados I (CCO - 5º período)
Prof 12,Quinta,M,4,Banco de Dados I (CCO - 5º período)
Prof 12,Quinta,M,5,livre
Prof 12,Quinta,T,1,livre
Prof 12,Quinta,T,2,livre
Prof 12,Quinta,T,3,livre
Prof 12,Quinta,T,4,livre
Prof 12,Quinta,T,5,livre
Prof 12,Quinta,N,1,livre
Prof 12,Quinta,N,2,livre
Prof 12,Quinta,N,3,livre
Prof 12,Quinta,N,4,livre
Prof 12,Quinta,N,5,livre
Prof 12,Sexta,M,1,livre
Prof 12,Sexta,M,2,livre
Prof 12,Sexta,M,3,livre
Prof 12,Sexta,M,4,livre
Prof 12,Sexta,M,5,livre
Prof 12,Sexta,T,1,livre
Prof 12,Sexta,T,2,livre
Prof 12,Sexta,T,3,livre
Prof 12,Sexta,T,4,livre
Prof 12,Sexta,T,5,livre
Prof 12,Sexta,N,1,livre
Prof 12,Sexta,N,2,livre
Prof 12,Sexta,N,3,livre
Prof 12,Sexta,N,4,livre
Prof 12,Sexta,N,5,livre
Prof 13,Segunda,M,1,livre
Prof 13,Segunda,M,2,livre
Prof 13,Segunda,M,3,livre
Prof 13,Segunda,M,4,livre
Prof 13,Segunda,M,5,livre
Prof 13,Segunda,T,1,livre
Prof 13,Segunda,T,2,livre
Prof 13,Segunda,T,3,livre
Prof 13,Segunda,T,4,livre
Prof 13,Segunda,T,5,livre
Prof 13,Segunda,N,1,livre
Prof 13,Segunda,N,2,livre
Prof 13,Segunda,N,3,livre
Prof 13,Segunda,N,4,livre
Prof 13,Segunda,N,5,livre
Prof 13,Terça,M,1,Arquitetura de Computadores I (CCO - 1º período)
Prof 13,Terça,M,2,Arquitetura de Computadores I (CCO - 1º período)
Prof 13,Terça,M,3,Arquitetura de Computadores I (CCO - 1º período)
Prof 13,Terça,M,4,Arquitetura de Computadores I (CCO - 1º período)
Prof 13,Terça,M,5,livre
Prof 13,Terça,T,1,livre
Prof 13,Terça,T,2,livre
Prof 13,Terça,T,3,livre
Prof 13,Terça,T,4,livre
Prof 13,Terça,T,5,livre
Prof 13,Terça,N,1,livre
Prof 13,Terça,N,2,livre
Prof 13,Terça,N,3,livre
Prof 13,Terça,N,4,livre
Prof 13,Terça,N,5,livre
Prof 13,Quarta,M,1,Sistemas Operacionais (CCO - 3º período)
Prof 13,Quarta,M,2,Sistemas Operacionais (CCO - 3º período)
Prof 13,Quarta,M,3,Sistemas Operacionais (CCO - 3º período)
Prof 13,Quarta,M,4,Sistemas Operacionais (CCO - 3º período)
Prof 13,Quarta,M,5,livre
Prof 13,Quarta,T,1,livre
Prof 13,Quarta,T,2,livre
Prof 13,Quarta,T,3,livre
Prof 13,Quarta,T,4,livre
Prof 13,Quarta,T,5,livre
Prof 13,Quarta,N,1,livre
Prof 13,Quarta,N,2,livre
Prof 13,Quarta,N,3,livre
Prof 13,Quarta,N,4,livre
Prof 13,Quarta,N,5,livre
Prof 13,Quinta,M,1,Visualização da Informação (Pós Graduação - 4º período)
Prof 13,Quinta,M,2,Visualização da Informação (Pós Graduação - 4º período)
Prof 13,Quinta,M,3,Visualização da Informação (Pós Graduação - 4º período)
Prof 13,Quinta,M,4,Visualização da Informação (Pós Graduação - 4º período)
Prof 13,Quinta,M,5,livre
Prof 13,Quinta,T,1,livre
Prof 13,Quinta,T,2,livre
Prof 13,Quinta,T,3,livre
Prof 13,Quinta,T,4,livre
Prof 13,Quinta,T,5,livre
Prof 13,Quinta,N,1,livre
Prof 13,Quinta,N,2,livre
Prof 13,Quinta,N,3,livre
Prof 13,Quinta,N,4,livre
Prof 13,Quinta,N,5,livre
Prof 13,Sexta,M,1,livre
Prof 13,Sexta,M,2,livre
Prof 13,Sexta,M,3,livre
Prof 13,Sexta,M,4,livre
Prof 13,Sexta,M,5,livre
Prof 13,Sexta,T,1,livre
Prof 13,Sexta,T,2,livre
Prof 13,Sexta,T,3,livre
Prof 13,Sexta,T,4,livre
Prof 13,Sexta,T,5,livre
Prof 13,Sexta,N,1,livre
Prof 13,Sexta,N,2,livre
Prof 13,Sexta,N,3,livre
Prof 13,Sexta,N,4,livre
Prof 13,Sexta,N,5,livre
Prof 14,Segunda,M,1,livre
Prof 14,Segunda,M,2,livre
Prof 14,Segunda,M,3,livre
Prof 14,Segunda,M,4,livre
Prof 14,Segunda,M,5,livre
Prof 14,Segunda,T,1,livre
Prof 14,Segunda,T,2,livre
Prof 14,Segunda,T,3,livre
Prof 14,Segunda,T,4,livre
Prof 14,Segunda,T,5,livre
Prof 14,Segunda,N,1,livre
Prof 14,Segunda,N,2,livre
Prof 14,Segunda,N,3,Algoritmos e Programação II (SIN - 3º período)
Prof 14,Segunda,N,4,Algoritmos e Programação II (SIN - 3º período)
Prof 14,Segunda,N,5,livre
Prof 14,Terça,M,1,livre
Prof 14,Terça,M,2,livre
Prof 14,Terça,M,3,livre
Prof 14,Terça,M,4,livre
Prof 14,Terça,M,5,livre
Prof 14,Terça,T,1,livre
Prof 14,Terça,T,2,livre
Prof 14,Terça,T,3,livre
Prof 14,Terça,T,4,livre
Prof 14,Terça,T,5,livre
Prof 14,Terça,N,1,livre
Prof 14,Terça,N,2,livre
Prof 14,Terça,N,3,livre
Prof 14,Terça,N,4,livre
Prof 14,Terça,N,5,livre
Prof 14,Quarta,M,1,livre
Prof 14,Quarta,M,2,livre
Prof 14,Quarta,M,3,livre
Prof 14,Quarta,M,4,livre
Prof 14,Quarta,M,5,livre
Prof 14,Quarta,T,1,livre
Prof 14,Quarta,T,2,livre
Prof 14,Quarta,T,3,livre
Prof 14,Quarta,T,4,livre
Prof 14,Quarta,T,5,livre
Prof 14,Quarta,N,1,livre
Prof 14,Quarta,N,2,livre
Prof 14,Quarta,N,3,Algoritmos e Programação II (SIN - 3º período)
Prof 14,Quarta,N,4,Algoritmos e Programação II (SIN - 3º período)
Prof 14,Quarta,N,5,livre
Prof 14,Quinta,M,1,Design Patterns (Pós Graduação - 3º período)
Prof 14,Quinta,M,2,Design Patterns (Pós Graduação - 3º período)
Prof 14,Quinta,M,3,Design Patterns (Pós Graduação - 3º período)
Prof 14,Quinta,M,4,Design Patterns (Pós Graduação - 3º período)
Prof 14,Quinta,M,5,Análise e Projeto de Algoritmos II (CCO - 5º período)
Prof 14,Quinta,T,1,livre
Prof 14,Quinta,T,2,livre
Prof 14,Quinta,T,3,Análise e Projeto de Algoritmos II (CCO - 5º período)
Prof 14,Quinta,T,4,Análise e Projeto de Algoritmos II (CCO - 5º período)
Prof 14,Quinta,T,5,livre
Prof 14,Quinta,N,1,livre
Prof 14,Quinta,N,2,livre
Prof 14,Quinta,N,3,livre
Prof 14,Quinta,N,4,livre
Prof 14,Quinta,N,5,livre
Prof 14,Sexta,M,1,livre
Prof 14,Sexta,M,2,livre
Prof 14,Sexta,M,3,livre
Prof 14,Sexta,M,4,livre
Prof 14,Sexta,M,5,livre
Prof 14,Sexta,T,1,livre
Prof 14,Sexta,T,2,livre
Prof 14,Sexta,T,3,livre
Prof 14,Sexta,T,4,livre
Prof 14,Sexta,T,5,livre
Prof 14,Sexta,N,1,livre
Prof 14,Sexta,N,2,livre
Prof 14,Sexta,N,3,livre
Prof 14,Sexta,N,4,livre
Prof 14,Sexta,N,5,livre
Prof 15,Segunda,M,1,Desenvolvimento de Sistemas na Web (CCO - 7º período)
Prof 15,Segunda,M,2,Desenvolvimento de Sistemas na Web (CCO - 7º período)
Prof 15,Segunda,M,3,Desenvolvimento de Sistemas na Web (CCO - 7º período)
Prof 15,Segunda,M,4,Desenvolvimento de Sistemas na Web (CCO - 7º período)
Prof 15,Segunda,M,5,Desenvolvimento de Sistemas na Web (CCO - 7º período)
Prof 15,Segunda,T,1,livre
Prof 15,Segunda,T,2,livre
Prof 15,Segunda,T,3,livre
Prof 15,Segunda,T,4,livre
Prof 15,Segunda,T,5,livre
Prof 15,Segunda,N,1,Fundamentos de Programação (SIN - 1º período)
Prof 15,Segunda,N,2,Fundamentos de Programação (SIN - 1º período)
Prof 15,Segunda,N,3,livre
Prof 15,Segunda,N,4,livre
Prof 15,Segunda,N,5,livre
Prof 15,Terça,M,1,livre
Prof 15,Terça,M,2,livre
Prof 15,Terça,M,3,livre
Prof 15,Terça,M,4,livre
Prof 15,Terça,M,5,livre
Prof 15,Terça,T,1,livre
Prof 15,Terça,T,2,livre
Prof 15,Terça,T,3,livre
Prof 15,Terça,T,4,livre
Prof 15,Terça,T,5,livre
Prof 15,Terça,N,1,Fundamentos de Programação (SIN - 1º período)
Prof 15,Terça,N,2,Fundamentos de Programação (SIN - 1º período)
Prof 15,Terça,N,3,Programação Web (SIN - 3º período)
Prof 15,Terça,N,4,Programação Web (SIN - 3º período)
Prof 15,Terça,N,5,livre
Prof 15,Quarta,M,1,livre
Prof 15,Quarta,M,2,livre
Prof 15,Quarta,M,3,livre
Prof 15,Quarta,M,4,livre
Prof 15,Quarta,M,5,livre
Prof 15,Quarta,T,1,livre
Prof 15,Quarta,T,2,livre
Prof 15,Quarta,T,3,livre
Prof 15,Quarta,T,4,livre
Prof 15,Quarta,T,5,livre
Prof 15,Quarta,N,1,Programação Web (SIN - 3º período)
Prof 15,Quarta,N,2,Programação Web (SIN - 3º período)
Prof 15,Quarta,N,3,livre
Prof 15,Quarta,N,4,livre
Prof 15,Quarta,N,5,livre
Prof 15,Quinta,M,1,livre
Prof 15,Quinta,M,2,livre
Prof 15,Quinta,M,3,livre
Prof 15,Quinta,M,4,livre
Prof 15,Quinta,M,5,livre
Prof 15,Quinta,T,1,livre
Prof 15,Quinta,T,2,livre
Prof 15,Quinta,T,3,livre
Prof 15,Quinta,T,4,livre
Prof 15,Quinta,T,5,livre
Prof 15,Quinta,N,1,livre
Prof 15,Quinta,N,2,livre
Prof 15,Quinta,N,3,livre
Prof 15,Quinta,N,4,livre
Prof 15,Quinta,N,5,livre
Prof 15,Sexta,M,1,livre
Prof 15,Sexta,M,2,livre
Prof 15,Sexta,M,3,livre
Prof 15,Sexta,M,4,livre
Prof 15,Sexta,M,5,livre
Prof 15,Sexta,T,1,livre
Prof 15,Sexta,T,2,livre
Prof 15,Sexta,T,3,livre
Prof 15,Sexta,T,4,livre
Prof 15,Sexta,T,5,livre
Prof 15,Sexta,N,1,livre
Prof 15,Sexta,N,2,livre
Prof 15,Sexta,N,3,livre
Prof 15,Sexta,N,4,livre
Prof 15,Sexta,N,5,livre
Prof 16,Segunda,M,1,livre
Prof 16,Segunda,M,2,livre
Prof 16,Segunda,M,3,livre
Prof 16,Segunda,M,4,livre
Prof 16,Segunda,M,5,livre
Prof 16,Segunda,T,1,Algoritmos em Grafos (CCO - 3º período)
Prof 16,Segunda,T,2,Algoritmos em Grafos (CCO - 3º período)
Prof 16,Segunda,T,3,Algoritmos em Grafos (CCO - 3º período)
Prof 16,Segunda,T,4,Algoritmos em Grafos (CCO - 3º período)
Prof 16,Segunda,T,5,livre
Prof 16,Segunda,N,1,livre
Prof 16,Segunda,N,2,livre
Prof 16,Segunda,N,3,livre
Prof 16,Segunda,N,4,livre
Prof 16,Segunda,N,5,livre
Prof 16,Terça,M,1,livre
Prof 16,Terça,M,2,livre
Prof 16,Terça,M,3,livre
Prof 16,Terça,M,4,livre
Prof 16,Terça,M,5,livre
Prof 16,Terça,T,1,livre
Prof 16,Terça,T,2,livre
Prof 16,Terça,T,3,livre
Prof 16,Terça,T,4,livre
Prof 16,Terça,T,5,livre
Prof 16,Terça,N,1,livre
Prof 16,Terça,N,2,livre
Prof 16,Terça,N,3,livre
Prof 16,Terça,N,4,livre
Prof 16,Terça,N,5,livre
Prof 16,Quarta,M,1,livre
Prof 16,Quarta,M,2,livre
Prof 16,Quarta,M,3,livre
Prof 16,Quarta,M,4,livre
Prof 16,Quarta,M,5,livre
Prof 16,Quarta,T,1,livre
Prof 16,Quarta,T,2,livre
Prof 16,Quarta,T,3,livre
Prof 16,Quarta,T,4,livre
Prof 16,Quarta,T,5,livre
Prof 16,Quarta,N,1,livre
Prof 16,Quarta,N,2,livre
Prof 16,Quarta,N,3,livre
Prof 16,Quarta,N,4,livre
Prof 16,Quarta,N,5,livre
Prof 16,Quinta,M,1,livre
Prof 16,Quinta,M,2,livre
Prof 16,Quinta,M,3,Projeto Integrado (CCO - 1º período)
Prof 16,Quinta,M,4,Projeto Integrado (CCO - 1º período)
Prof 16,Quinta,M,5,livre
Prof 16,Quinta,T,1,livre
Prof 16,Quinta,T,2,livre
Prof 16,Quinta,T,3,livre
Prof 16,Quinta,T,4,livre
Prof 16,Quinta,T,5,livre
Prof 16,Quinta,N,1,livre
Prof 16,Quinta,N,2,livre
Prof 16,Quinta,N,3,livre
Prof 16,Quinta,N,4,livre
Prof 16,Quinta,N,5,livre
Prof 16,Sexta,M,1,Sistemas Distribuídos (CCO - 7º período)
Prof 16,Sexta,M,2,Sistemas Distribuídos (CCO - 7º período)
Prof 16,Sexta,M,3,Sistemas Distribuídos (CCO - 7º período)
Prof 16,Sexta,M,4,Sistemas Distribuídos (CCO - 7º período)
Prof 16,Sexta,M,5,livre
Prof 16,Sexta,T,1,livre
Prof 16,Sexta,T,2,livre
Prof 16,Sexta,T,3,livre
Prof 16,Sexta,T,4,livre
Prof 16,Sexta,T,5,livre
Prof 16,Sexta,N,1,livre
Prof 16,Sexta,N,2,livre
Prof 16,Sexta,N,3,livre
Prof 16,Sexta,N,4,livre
Prof 16,Sexta,N,5,livre
Prof 17,Segunda,M,1,Redes Complexas (Optativas - 3º período)
Prof 17,Segunda,M,2,Redes Complexas (Optativas - 3º período)
Prof 17,Segunda,M,3,Redes Complexas (Optativas - 3º período)
Prof 17,Segunda,M,4,Redes Complexas (Optativas - 3º período)
Prof 17,Segunda,M,5,livre
Prof 17,Segunda,T,1,livre
Prof 17,Segunda,T,2,livre
Prof 17,Segunda,T,3,livre
Prof 17,Segunda,T,4,livre
Prof 17,Segunda,T,5,livre
Prof 17,Segunda,N,1,livre
Prof 17,Segunda,N,2,livre
Prof 17,Segunda,N,3,livre
Prof 17,Segunda,N,4,livre
Prof 17,Segunda,N,5,livre
Prof 17,Terça,M,1,livre
Prof 17,Terça,M,2,livre
Prof 17,Terça,M,3,livre
Prof 17,Terça,M,4,livre
Prof 17,Terça,M,5,livre
Prof 17,Terça,T,1,livre
Prof 17,Terça,T,2,livre
Prof 17,Terça,T,3,livre
Prof 17,Terça,T,4,livre
Prof 17,Terça,T,5,livre
Prof 17,Terça,N,1,livre
Prof 17,Terça,N,2,livre
Prof 17,Terça,N,3,livre
Prof 17,Terça,N,4,livre
Prof 17,Terça,N,5,livre
Prof 17,Quarta,M,1,livre
Prof 17,Quarta,M,2,livre
Prof 17,Quarta,M,3,livre
Prof 17,Quarta,M,4,livre
Prof 17,Quarta,M,5,livre
Prof 17,Quarta,T,1,livre
Prof 17,Quarta,T,2,livre
Prof 17,Quarta,T,3,livre
Prof 17,Quarta,T,4,livre
Prof 17,Quarta,T,5,livre
Prof 17,Quarta,N,1,livre
Prof 17,Quarta,N,2,livre
Prof 17,Quarta,N,3,livre
Prof 17,Quarta,N,4,livre
Prof 17,Quarta,N,5,livre
Prof 17,Quinta,M,1,livre
Prof 17,Quinta,M,2,livre
Prof 17,Quinta,M,3,livre
Prof 17,Quinta,M,4,livre
Prof 17,Quinta,M,5,livre
Prof 17,Quinta,T,1,livre
Prof 17,Quinta,T,2,livre
Prof 17,Quinta,T,3,livre
Prof 17,Quinta,T,4,livre
Prof 17,Quinta,T,5,livre
Prof 17,Quinta,N,1,livre
Prof 17,Quinta,N,2,livre
Prof 17,Quinta,N,3,livre
Prof 17,Quinta,N,4,livre
Prof 17,Quinta,N,5,livre
Prof 17,Sexta,M,1,livre
Prof 17,Sexta,M,2,livre
Prof 17,Sexta,M,3,livre
Prof 17,Sexta,M,4,livre
Prof 17,Sexta,M,5,livre
Prof 17,Sexta,T,1,livre
Prof 17,Sexta,T,2,livre
Prof 17,Sexta,T,3,livre
Prof 17,Sexta,T,4,livre
Prof 17,Sexta,T,5,livre
Prof 17,Sexta,N,1,livre
Prof 17,Sexta,N,2,livre
Prof 17,Sexta,N,3,livre
Prof 17,Sexta,N,4,livre
Prof 17,Sexta,N,5,livre
Prof 18,Segunda,M,1,livre
Prof 18,Segunda,M,2,livre
Prof 18,Segunda,M,3,livre
Prof 18,Segunda,M,4,livre
Prof 18,Segunda,M,5,livre
Prof 18,Segunda,T,1,livre
Prof 18,Segunda,T,2,livre
Prof 18,Segunda,T,3,livre
Prof 18,Segunda,T,4,livre
Prof 18,Segunda,T,5,livre
Prof 18,Segunda,N,1,livre
Prof 18,Segunda,N,2,livre
Prof 18,Segunda,N,3,livre
Prof 18,Segunda,N,4,livre
Prof 18,Segunda,N,5,livre
Prof 18,Terça,M,1,livre
Prof 18,Terça,M,2,livre
Prof 18,Terça,M,3,livre
Prof 18,Terça,M,4,livre
Prof 18,Terça,M,5,livre
Prof 18,Terça,T,1,livre
Prof 18,Terça,T,2,livre
Prof 18,Terça,T,3,livre
Prof 18,Terça,T,4,livre
Prof 18,Terça,T,5,livre
Prof 18,Terça,N,1,Banco de Dados II (SIN - 5º período)
Prof 18,Terça,N,2,Banco de Dados II (SIN - 5º período)
Prof 18,Terça,N,3,livre
Prof 18,Terça,N,4,livre
Prof 18,Terça,N,5,livre
Prof 18,Quarta,M,1,livre
Prof 18,Quarta,M,2,livre
Prof 18,Quarta,M,3,livre
Prof 18,Quarta,M,4,livre
Prof 18,Quarta,M,5,livre
Prof 18,Quarta,T,1,livre
Prof 18,Quarta,T,2,livre
Prof 18,Quarta,T,3,livre
Prof 18,Quarta,T,4,livre
Prof 18,Quarta,T,5,livre
Prof 18,Quarta,N,1,livre
Prof 18,Quarta,N,2,livre
Prof 18,Quarta,N,3,livre
Prof 18,Quarta,N,4,livre
Prof 18,Quarta,N,5,livre
Prof 18,Quinta,M,1,Algoritmos e Estrutura de Dados II (CCO - 3º período)
Prof 18,Quinta,M,2,Algoritmos e Estrutura de Dados II (CCO - 3º período)
Prof 18,Quinta,M,3,Algoritmos e Estrutura de Dados II (CCO - 3º período)
Prof 18,Quinta,M,4,Algoritmos e Estrutura de Dados II (CCO - 3º período)
Prof 18,Quinta,M,5,livre
