Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,T,1,CCO,0,5,CIC111,Análise e Projeto de Algoritmos II,3,Prof 14
Segunda,T,2,CCO,0,5,CIC111,Análise e Projeto de Algoritmos II,3,Prof 14
Segunda,M,5,CCO,0,5,CIC111,Análise e Projeto de Algoritmos II,3,Prof 14
Segunda,M,1,SIN,2022,3,STCO02,Algoritmos e Programação II,4,Prof 14
Segunda,M,2,SIN,2022,3,STCO02,Algoritmos e Programação II,4,Prof 14
Segunda,M,3,SIN,2022,3,STCO02,Algoritmos e Programação II,4,Prof 14
Segunda,M,4,SIN,2022,3,STCO02,Algoritmos e Programação II,4,Prof 14
Segunda,T,3,Pós Graduação,0,3,POS1,Design Patterns,4,Prof 14
Segunda,T,4,Pós Graduação,0,3,POS1,Design Patterns,4,Prof 14
Segunda,N,1,Pós Graduação,0,3,POS1,Design Patterns,4,Prof 14
Segunda,N,2,Pós Graduação,0,3,POS1,Design Patterns,4,Prof 14
