Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Terça,M,1,CCO,2022,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Terça,M,2,CCO,2022,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Terça,M,3,CCO,2022,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Terça,M,4,CCO,2022,3,CTCO02,Algoritmos e Estrutura de Dados II,4,Prof 18
Terça,N,1,SIN,2017,5,COM231,Banco de Dados II,4,Prof 18
Terça,N,2,SIN,2017,5,COM231,Banco de Dados II,4,Prof 18
Terça,N,3,SIN,2017,5,COM231,Banco de Dados II,4,Prof 18
Terça,N,4,SIN,2017,5,COM231,Banco de Dados II,4,Prof 18
