Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,T,1,CCO,2022,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Segunda,T,2,CCO,2022,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Segunda,T,3,CCO,2022,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Segunda,T,4,CCO,2022,1,CRSC03,Arquitetura de Computadores I,4,Prof 13
Segunda,N,1,CCO,2022,3,CRSC02,Sistemas Operacionais,4,Prof 13
Segunda,N,2,CCO,2022,3,CRSC02,Sistemas Operacionais,4,Prof 13
Segunda,N,3,CCO,2022,3,CRSC02,Sistemas Operacionais,4,Prof 13
Segunda,N,4,CCO,2022,3,CRSC02,Sistemas Operacionais,4,Prof 13
Segunda,M,1,Pós Graduação,0,4,POS2,Visualização da Informação,4,Prof 13
Segunda,M,2,Pós Graduação,0,4,POS2,Visualização da Informação,4,Prof 13
Segunda,M,3,Pós Graduação,0,4,POS2,Visualização da Informação,4,Prof 13
Segunda,M,4,Pós Graduação,0,4,POS2,Visualização da Informação,4,Prof 13
