Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,M,1,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMT),4,Prof 3
Segunda,M,2,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMT),4,Prof 3
Segunda,M,3,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMT),4,Prof 3
Segunda,M,4,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMT),4,Prof 3
Segunda,T,1,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EME),4,Prof 3
Segunda,T,2,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EME),4,Prof 3
Segunda,T,3,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EME),4,Prof 3
Segunda,T,4,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EME),4,Prof 3
Segunda,N,1,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EBP / ECI),4,Prof 3
Segunda,N,2,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EBP / ECI),4,Prof 3
Segunda,N,3,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EBP / ECI),4,Prof 3
Segunda,N,4,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EBP / ECI),4,Prof 3
Terça,T,1,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMA / EEN),4,Prof 3
Terça,T,2,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMA / EEN),4,Prof 3
Terça,T,3,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMA / EEN),4,Prof 3
Terça,T,4,Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMA / EEN),4,Prof 3
