Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,M,1,CCO,2022,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Segunda,M,2,CCO,2022,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Segunda,M,3,CCO,2022,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Segunda,M,4,CCO,2022,3,XDES02,Programação Orientada a Objetos,4,Prof 9
Terça,T,1,CCO,2022,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Terça,T,2,CCO,2022,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Terça,T,3,CCO,2022,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Terça,T,4,CCO,2022,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,Prof 9
Terça,M,1,SIN,0,3,COM220,Computação Orientada a Objetos I,4,Prof 9
Terça,M,2,SIN,0,3,COM220,Computação Orientada a Objetos I,4,Prof 9
Terça,M,3,SIN,0,3,COM220,Computação Orientada a Objetos I,4,Prof 9
Terça,M,4,SIN,0,3,COM220,Computação Orientada a Objetos I,4,Prof 9
