Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Segunda,N,1,CCO,0,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Segunda,N,2,CCO,0,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Segunda,N,3,CCO,0,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Segunda,N,4,CCO,0,5,COM221,Computação Orientada a Objetos II,4,Prof 10
Segunda,T,1,SIN,2022,1,SAHC05,Fundamentos de Sistemas de Informação,4,Prof 10
Segunda,T,2,SIN,2022,1,SAHC05,Fundamentos de Sistemas de Informação,4,Prof 10
Segunda,T,3,SIN,2022,1,SAHC05,Fundamentos de Sistemas de Informação,4,Prof 10
Segunda,T,4,SIN,2022,1,SAHC05,Fundamentos de Sistemas de Informação,4,Prof 10
Segunda,M,1,SIN,2017,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,M,2,SIN,2017,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,M,3,SIN,2017,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,M,4,SIN,2017,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
Segunda,N,5,SIN,2017,7,SIN412,Desenvolvimento de Aplicações em SI,5,Prof 10
