Dia,Turno,Horário,Curso,PPC,Período,Código,Disciplina,CH,Professor
Terça,N,1,SIN,2022,3,SRSC03,Organização e Arquitetura de Computadores,4,Prof 11
Terça,N,2,SIN,2022,3,SRSC03,Organização e Arquitetura de Computadores,4,Prof 11
Terça,N,3,SIN,2022,3,SRSC03,Organização e Arquitetura de Computadores,4,Prof 11
Terça,N,4,SIN,2022,3,SRSC03,Organização e Arquitetura de Computadores,4,Prof 11
Terça,M,1,Outros Cursos,0,1,CCO016,Fundamentos de Programação (MBA),4,Prof 11
Terça,M,2,Outros Cursos,0,1,CCO016,Fundamentos de Programação (MBA),4,Prof 11
Terça,M,3,Outros Cursos,0,1,CCO016,Fundamentos de Programação (MBA),4,Prof 11
Terça,M,4,Outros Cursos,0,1,CCO016,Fundamentos de Programação (MBA),4,Prof 11
