Curso,PPC,Período,Código da Disciplina,Nome da Disciplina,CH,Prof 1,Prof 2,Prof 3,Prof 4,Prof 5,Prof 6,Prof 7,Prof 8,Prof 9,Prof 10,Prof 11,Prof 12,Prof 13,Prof 14,Prof 15,Prof 16,Prof 17,Prof 18
CCO,2022,1,XDES01,Fundamentos de Programação,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCO,2022,1,CRSC03,Arquitetura de Computadores I,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CCO,2022,1,XMAC01,Matemática Discreta,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCO,2022,1,CAHC04,Projeto Integrado,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CCO,2022,3,XDES02,Programação Orientada a Objetos,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCO,2022,3,XDES04,Engenharia de Software I,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCO,2022,3,CRSC02,Sistemas Operacionais,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CCO,2022,3,CTCO02,Algoritmos e Estrutura de Dados II,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCO,2022,3,XMAC02,Métodos Matemáticos para Análise de Dados,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CCO,2022,3,CMAC03,Algoritmos em Grafos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CCO,0,5,CIC111,Análise e Projeto de Algoritmos II,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCO,0,5,CIC132,Linguagens Formais e Autômatos,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCO,0,5,COM211,Engenharia de Software II,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CCO,0,5,COM221,Computação Orientada a Objetos II,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CCO,0,5,COM230,Banco de Dados I,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CCO,0,5,COM240,Redes de Computadores,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCO,0,5,COM311,Análise de Investimento em Informática,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCO,0,7,CIC271,Processamento Digital de Imagens,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCO,0,7,COM212,Gerência de Projeto de Software,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCO,0,7,COM213,Interação Humano-Computador,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCO,0,7,COM222,Desenvolvimento de Sistemas na Web,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CCO,0,7,COM242,Sistemas Distribuídos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SIN,2022,1,XDES01,Fundamentos de Programação,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SIN,2022,1,SAHC04,Projeto Integrado,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SIN,2022,1,SAHC05,Fundamentos de Sistemas de Informação,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SIN,2022,3,XDES03,Programação Web,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SIN,2022,3,SDES05,Engenharia de Software II,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SIN,2022,3,STCO02,Algoritmos e Programação II,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SIN,2022,3,SRSC03,Organização e Arquitetura de Computadores,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SIN,0,3,MAT017,Fundamentos de Lógica e Matemática Discreta,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN,0,3,COM220,Computação Orientada a Objetos I,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SIN,0,5,SIN260,Sistemas Inteligentes,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SIN,0,5,COM240,Redes de Computadores,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN,2017,5,SIN132,Linguagens Formais e Autômatos,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN,2017,5,COM231,Banco de Dados II,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SIN,2017,7,SIN210,Governança de TI,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SIN,2017,7,COM213,Interação Humano-Computador,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SIN,2017,7,SIN412,Desenvolvimento de Aplicações em SI,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SIN,2017,7,SIN413,Inteligência de Negócios,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SIN,2017,7,SIN414,Auditoria e Segurança de Sistemas de Informação,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN,2017,7,SIN313,Organização e Métodos,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
