Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
SIN,4,COM221,Computação Orientada a Objetos II,3,15,N345
SIN,4,COM221,Computação Orientada a Objetos II,4,15,N12
SIN,4,COM120,Sistemas Operacionais,1,13,N345
SIN,4,COM120,Sistemas Operacionais,3,13,N12
SIN,4,COM211,Engenharia de Software II,2,10,N12
SIN,4,COM211,Engenharia de Software II,1,10,N12
SIN,4,COM230,Banco de Dados I,5,12,N345
SIN,4,COM230,Banco de Dados I,4,12,N345
SIN,4,SIN110,Algoritmos e Grafos,2,16,N345
