Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
Optativas,4,COM922,Tópicos Especiais em Engenharia de Software (PEGA),2,4,M123
Optativas,4,COM922,Tópicos Especiais em Engenharia de Software (PEGA),2,4,T12
Optativas,4,COM937,Desenvolvimento de Jogos,3,"6, 15",M123
Optativas,4,COM937,Desenvolvimento de Jogos,1,"6, 15",T12
Optativas,4,COM997,Data Mining Aplicado,1,18,M123
Optativas,4,COM997,Data Mining Aplicado,2,18,M45
