Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
Pós Graduação,6,PCO112,Simuladores (Pós),2,3,M123
Pós Graduação,6,PCO112,Simuladores (Pós),2,3,T12
Pós Graduação,6,PCO202,Tópicos em Engenharia de Software (Pós),3,17,M123
Pós Graduação,6,PCO202,Tópicos em Engenharia de Software (Pós),1,17,T12
