Curso,Período,Código da Disciplina,Nome da Disciplina,Dia da Semana,Professor,Horário
CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,1,18,M123
CCO,3,CTCO02,Algoritmos e Estrutura de Dados II,3,18,M123
SIN,5,COM231,Banco de Dados II,4,18,N12
SIN,5,COM231,Banco de Dados II,3,18,N12
Optativas,3,OPT2,Redes Complexas,1,18,M45
Optativas,3,OPT2,Redes Complexas,3,18,T345
